horizon,MAE,RMSE,MAPE,samples
1219,2.209931511521964,2.898154469246669,19.851084170115616,1842
1220,2.209677857110297,2.897877830482334,19.84959182781059,1842
1221,2.20942492793221,2.897601732759823,19.848108152321263,1842
1222,2.2091726352780165,2.8973261469261464,19.846632026220806,1842
1223,2.2089210287350944,2.8970510833545067,19.845163862522575,1842
1224,2.2086700148191984,2.8967765122396476,19.84370253127108,1842
1225,2.2084196882965466,2.896502482658176,19.842250038435854,1842
1226,2.2081700117719687,2.8962289811637043,19.84080598358091,1842
1227,2.207920961699794,2.8959559983594856,19.83937010325805,1842
1228,2.207672465355008,2.8956835014436124,19.837941341392266,1842
1229,2.2074246072020527,2.895411522787662,19.836520678368885,1842
1230,2.2071773582250334,2.895140054346187,19.835107987453863,1842
1231,2.2069304424794995,2.8948689673499937,19.833699839339445,1842
1232,2.2066839416514945,2.894598302247262,19.832297508183757,1842
1233,2.2064379520766866,2.89432810740502,19.83090241166674,1842
1234,2.2061925528440676,2.8940584186786125,19.82951546820993,1842
1235,2.2059478583198366,2.8937892831628598,19.828138079911795,1842
1236,2.205704022979632,2.893520746406338,19.82677197998569,1842
1237,2.2054611867339893,2.8932528474602535,19.825419113628516,1842
1238,2.2052193449500455,2.892985572565138,19.824079170629947,1842
1239,2.204978474722575,2.892718886030332,19.822751254417668,1842
1240,2.204738494700284,2.8924527249367733,19.821433414511183,1842
1241,2.204499439010642,2.8921870902212024,19.820126104042842,1842
1242,2.2042613387266923,2.891922014913653,19.81883020822976,1842
1243,2.204023946569861,2.891657469865096,19.817543101646706,1842
1244,2.203786866669243,2.891393286334761,19.816261248473648,1842
1245,2.203549333514225,2.8911287554338014,19.814979454978772,1842
1246,2.2033107292583973,2.8908630288813058,19.813693524716296,1842
1247,2.2030709368317494,2.8905959136363975,19.81240276402144,1842
1248,2.202829981010387,2.890327419498603,19.811107683887037,1842
1249,2.202587732273206,2.890057522688385,19.809805350084954,1842
1250,2.2023440307506794,2.8897862619007184,19.80849229585725,1842
1251,2.2020988306305607,2.8895137013489878,19.807167320325444,1842
1252,2.201852126342215,2.8892399233936064,19.80582982147957,1842
1253,2.201604074682822,2.8889651535250307,19.804480718190355,1842
1254,2.201355042399751,2.888689851611209,19.80312237564365,1842
1255,2.2011051614566695,2.888414241802184,19.801755091812634,1842
1256,2.20085459663699,2.888138521417431,19.800379758006958,1842
1257,2.2006034435006994,2.887862818241706,19.79899676143871,1842
1258,2.200352069654417,2.8875873493530277,19.79760937113263,1842
1259,2.2001007464619535,2.8873122312618977,19.79622019853191,1842
1260,2.1998498659538246,2.887037528941208,19.794833979277254,1842
1261,2.1995995508963224,2.886763259622809,19.79345238255538,1842
