,usageDateId,meteringPointTypeCode,productionGroup,installedCapacity
80882,2021-04-25,E18,hydro,221501.0
80883,2021-04-25,E19,solar,411.0
80884,2021-04-25,E18,thermal,4300.0
81331,2021-04-26,E18,thermal,4300.0
81332,2021-04-26,E18,wind,3750.0
81333,2021-04-26,E19,solar,411.0
81334,2021-04-26,E18,hydro,221501.0
81954,2021-04-27,E18,wind,3750.0
81955,2021-04-27,E18,hydro,221501.0
81956,2021-04-27,E18,thermal,4300.0
81957,2021-04-27,E19,solar,418.0
82809,2021-04-28,E19,solar,418.0
82810,2021-04-28,E18,hydro,221501.0
82811,2021-04-28,E18,wind,3750.0
82812,2021-04-28,E18,thermal,4300.0
83695,2021-04-29,E18,wind,3750.0
83696,2021-04-29,E18,thermal,4300.0
83697,2021-04-29,E18,hydro,221501.0
83698,2021-04-29,E19,solar,418.0
84557,2021-05-07,E19,solar,428.0
84558,2021-05-07,E18,wind,3750.0
84559,2021-05-07,E18,thermal,4300.0
84560,2021-05-07,E18,hydro,221501.0
84877,2021-05-08,E19,solar,428.0
84878,2021-05-08,E18,wind,3750.0
84879,2021-05-08,E18,hydro,221501.0
84880,2021-05-08,E18,thermal,4300.0
86031,2021-05-27,E18,hydro,221501.0
86032,2021-05-27,E18,wind,3750.0
86033,2021-05-27,E18,thermal,4300.0
86034,2021-05-27,E19,solar,428.0
86346,2021-05-28,E19,solar,428.0
86347,2021-05-28,E18,hydro,221501.0
86348,2021-05-28,E18,thermal,4300.0
86349,2021-05-28,E18,wind,3750.0
87386,2021-05-29,E18,hydro,221501.0
87387,2021-05-29,E18,wind,3750.0
87388,2021-05-29,E18,thermal,4300.0
87389,2021-05-29,E19,solar,428.0
87896,2021-05-30,E18,wind,3750.0
87897,2021-05-30,E18,hydro,221501.0
87898,2021-05-30,E18,thermal,4300.0
87899,2021-05-30,E19,solar,428.0
88468,2021-05-31,E18,hydro,221501.0
88469,2021-05-31,E18,thermal,4300.0
88470,2021-05-31,E18,wind,3750.0
88471,2021-05-31,E19,solar,428.0
89361,2021-06-01,E18,hydro,221501.0
89362,2021-06-01,E18,wind,3750.0
89363,2021-06-01,E18,thermal,4300.0
89364,2021-06-01,E19,solar,428.0
89900,2021-06-02,E18,thermal,4300.0
89901,2021-06-02,E19,solar,428.0
89902,2021-06-02,E18,wind,3750.0
89903,2021-06-02,E18,hydro,221501.0
90815,2021-06-03,E19,solar,428.0
90816,2021-06-03,E18,thermal,4300.0
90817,2021-06-03,E18,hydro,221501.0
90818,2021-06-03,E18,wind,3750.0
91474,2021-06-04,E18,wind,3750.0
91475,2021-06-04,E18,thermal,4300.0
91476,2021-06-04,E18,hydro,221501.0
